CSU_Yunlu_2020	 100.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0
CSU_Yunlu_2020	 0.0	 0.0	 0.0	 0.0	 33.33	 33.33	 0.0	 0.0	 0.0	 33.33	 0.0	 0.0	 0.0	 1
CSU_Yunlu_2020	 65.0	 7.14	 5.71	 2.14	 0.71	 2.86	 5.0	 2.86	 2.14	 2.86	 0.71	 2.86	 0.0	 2
CSU_Yunlu_2020	 72.97	 2.7	 10.81	 2.7	 0.0	 5.41	 0.0	 0.0	 2.7	 0.0	 2.7	 0.0	 0.0	 3
CSU_Yunlu_2020	 68.97	 10.34	 6.9	 6.9	 0.0	 0.0	 0.0	 3.45	 0.0	 0.0	 3.45	 0.0	 0.0	 4
CSU_Yunlu_2020	 68.63	 5.88	 5.88	 3.92	 1.96	 1.96	 3.92	 1.96	 1.96	 0.0	 3.92	 0.0	 0.0	 5
CSU_Yunlu_2020	 81.82	 9.09	 9.09	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6
CSU_Yunlu_2020	 30.0	 10.0	 6.67	 10.0	 0.0	 6.67	 3.33	 3.33	 3.33	 10.0	 6.67	 10.0	 0.0	 7
CYRUS2018	 27.28	 19.11	 13.82	 11.33	 8.01	 4.86	 3.48	 2.49	 1.94	 2.37	 2.34	 2.78	 1.38	 0
CYRUS2018	 17.07	 13.21	 14.07	 10.96	 7.06	 7.39	 6.83	 6.13	 3.68	 4.39	 4.4	 4.81	 1.38	 1
CYRUS2018	 24.46	 19.33	 14.37	 9.99	 6.68	 5.12	 4.39	 3.59	 3.19	 3.1	 2.65	 3.14	 1.38	 2
CYRUS2018	 23.35	 17.98	 13.89	 9.8	 7.27	 6.06	 4.88	 4.03	 3.69	 3.09	 2.93	 3.04	 1.38	 3
CYRUS2018	 21.7	 16.41	 14.11	 9.29	 6.33	 6.09	 5.72	 4.9	 4.22	 3.86	 3.96	 3.41	 1.38	 4
CYRUS2018	 17.65	 14.93	 11.91	 9.9	 7.06	 7.41	 6.57	 6.12	 4.8	 4.73	 4.46	 4.47	 1.38	 5
CYRUS2018	 18.37	 16.92	 16.17	 15.07	 7.53	 5.16	 4.18	 3.45	 3.76	 1.89	 2.54	 1.44	 1.38	 6
CYRUS2018	 44.35	 8.57	 8.66	 6.65	 5.1	 5.04	 4.86	 3.9	 3.5	 2.72	 2.27	 2.98	 1.38	 7
CYRUS2019	 35.18	 26.04	 14.27	 6.15	 5.14	 4.94	 1.55	 0.5	 1.38	 1.53	 2.18	 1.15	 0.33	 0
CYRUS2019	 25.39	 30.51	 5.9	 5.9	 8.46	 11.02	 5.13	 0.0	 5.13	 0.0	 0.0	 2.56	 0.33	 1
CYRUS2019	 28.65	 20.58	 12.53	 8.99	 3.73	 4.06	 3.68	 4.37	 2.99	 1.99	 4.37	 4.06	 0.33	 2
CYRUS2019	 31.97	 26.31	 14.82	 6.16	 4.41	 3.24	 3.25	 2.04	 2.03	 0.92	 3.27	 1.59	 0.33	 3
CYRUS2019	 26.11	 18.05	 8.53	 8.25	 2.78	 8.06	 5.95	 0.0	 8.06	 1.39	 11.23	 1.59	 0.33	 4
CYRUS2019	 19.32	 15.62	 11.91	 7.25	 4.22	 12.95	 8.81	 5.84	 3.4	 1.55	 5.7	 3.4	 0.33	 5
CYRUS2019	 50.0	 0.0	 0.0	 50.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.33	 6
CYRUS2019	 16.66	 30.0	 0.0	 0.0	 0.0	 0.0	 0.0	 16.66	 0.0	 10.0	 10.0	 16.66	 0.33	 7
FRA-UNIted	 27.02	 14.9	 12.5	 8.55	 6.34	 6.1	 5.47	 5.51	 3.87	 3.54	 3.07	 3.14	 1.05	 0
FRA-UNIted	 18.54	 12.93	 11.03	 11.23	 8.26	 7.07	 5.52	 6.5	 5.39	 4.65	 4.35	 3.79	 1.05	 1
FRA-UNIted	 22.53	 11.26	 11.42	 10.05	 8.11	 6.29	 6.42	 6.89	 5.73	 4.91	 3.28	 3.11	 1.05	 2
FRA-UNIted	 13.36	 10.67	 11.98	 12.0	 8.9	 7.85	 7.86	 7.83	 7.21	 4.88	 3.91	 3.55	 1.05	 3
FRA-UNIted	 25.0	 13.75	 11.33	 9.51	 7.94	 6.0	 6.68	 5.68	 4.7	 3.7	 2.87	 2.84	 1.05	 4
FRA-UNIted	 14.99	 11.71	 12.7	 11.83	 8.35	 7.53	 6.54	 7.83	 6.76	 4.85	 3.68	 3.24	 1.05	 5
FRA-UNIted	 33.76	 13.46	 12.43	 9.44	 5.09	 4.42	 4.12	 4.65	 3.55	 3.36	 2.57	 1.82	 1.05	 6
FRA-UNIted	 31.78	 9.87	 10.5	 13.37	 12.53	 4.2	 4.09	 2.29	 1.43	 2.77	 2.53	 2.82	 1.05	 7
Fractals2019	 24.21	 28.77	 9.72	 13.1	 4.17	 4.17	 5.56	 0.0	 4.76	 0.0	 0.0	 5.56	 0.0	 0
Fractals2019	 30.0	 6.67	 0.0	 33.33	 0.0	 0.0	 6.67	 0.0	 0.0	 23.33	 0.0	 0.0	 0.0	 1
Fractals2019	 35.05	 21.76	 8.21	 4.73	 5.74	 1.52	 3.95	 6.31	 4.9	 0.0	 0.74	 7.09	 0.0	 2
Fractals2019	 37.19	 17.79	 12.46	 10.06	 1.86	 3.27	 3.06	 1.91	 2.44	 3.08	 3.09	 3.8	 0.0	 3
Fractals2019	 22.72	 23.6	 15.08	 10.59	 5.51	 7.68	 3.33	 1.67	 2.9	 1.45	 1.28	 4.18	 0.0	 4
Fractals2019	 22.4	 16.47	 10.38	 8.62	 16.45	 8.77	 6.06	 0.0	 0.0	 0.0	 3.03	 7.81	 0.0	 5
Fractals2019	 40.0	 30.0	 0.0	 0.0	 16.67	 0.0	 6.67	 0.0	 0.0	 0.0	 0.0	 6.67	 0.0	 6
Fractals2019	 41.67	 16.67	 0.0	 0.0	 0.0	 0.0	 8.33	 0.0	 0.0	 0.0	 33.33	 0.0	 0.0	 7
GLD	 50.98	 18.94	 9.83	 5.42	 3.04	 1.37	 2.06	 1.79	 0.98	 1.92	 1.65	 2.02	 0.92	 0
GLD	 53.46	 28.97	 3.07	 4.87	 1.78	 0.0	 1.52	 4.5	 0.93	 0.45	 0.0	 0.45	 0.92	 1
GLD	 46.29	 17.5	 9.27	 6.86	 3.8	 3.26	 3.51	 2.91	 2.42	 1.66	 1.23	 1.3	 0.92	 2
GLD	 40.87	 19.48	 10.79	 7.02	 3.49	 2.93	 2.65	 2.4	 3.17	 1.86	 2.25	 3.09	 0.92	 3
GLD	 38.88	 19.06	 8.32	 5.59	 4.14	 3.03	 4.3	 3.54	 3.69	 3.07	 3.32	 3.07	 0.92	 4
GLD	 23.84	 13.66	 9.79	 7.34	 8.03	 7.49	 3.77	 4.35	 4.28	 6.38	 6.42	 4.65	 0.92	 5
