AHUT-SC	 10.0	 31.66	 21.66	 0.0	 0.0	 0.0	 5.0	 5.0	 16.66	 5.0	 5.0	 0.0	 1.0	 6
Fractals2019	 40.0	 30.0	 0.0	 0.0	 16.67	 0.0	 5.0	 0.0	 0.0	 0.0	 5.0	 6.67	 0.0	 6
AHUT-SC	 19.44	 23.15	 0.0	 11.11	 0.0	 3.7	 6.48	 0.0	 9.26	 6.48	 6.48	 13.89	 1.0	 7
Fractals2019	 41.67	 16.67	 0.0	 0.0	 0.0	 0.0	 6.48	 0.0	 0.0	 0.0	 6.48	 0.0	 0.0	 7
AHUT-SC	 44.39	 23.3	 7.41	 4.51	 1.33	 2.92	 2.78	 1.59	 1.59	 5.82	 1.59	 2.78	 0.0	 0
HELIOS2018	 33.3	 25.79	 10.48	 2.86	 3.99	 1.55	 2.78	 3.57	 6.37	 1.97	 1.59	 3.63	 1.67	 0
AHUT-SC	 0.0	 0.0	 16.67	 21.67	 10.83	 40.0	 0.0	 0.0	 0.0	 6.67	 4.17	 0.0	 0.0	 1
HELIOS2018	 20.55	 20.56	 11.11	 15.0	 2.78	 11.11	 0.0	 6.67	 2.78	 6.67	 4.17	 0.0	 1.67	 1
AHUT-SC	 37.17	 22.56	 9.6	 3.36	 4.44	 4.4	 2.74	 3.66	 1.21	 6.04	 2.85	 1.97	 0.0	 2
HELIOS2018	 33.64	 18.55	 9.3	 5.96	 2.81	 5.49	 2.74	 4.73	 5.17	 4.21	 2.85	 2.31	 1.67	 2
AHUT-SC	 25.84	 23.63	 11.07	 8.16	 2.45	 9.09	 4.19	 1.62	 1.62	 7.92	 2.08	 2.32	 0.0	 3
HELIOS2018	 20.6	 17.27	 10.5	 9.73	 7.17	 5.83	 4.19	 4.95	 5.26	 4.49	 2.08	 3.16	 1.67	 3
AHUT-SC	 31.75	 21.52	 8.39	 6.21	 5.4	 7.04	 1.9	 4.19	 1.94	 3.09	 3.41	 5.14	 0.0	 4
HELIOS2018	 23.02	 16.97	 13.67	 6.42	 7.46	 10.31	 1.9	 3.3	 4.57	 4.57	 3.41	 1.85	 1.67	 4
AHUT-SC	 29.93	 15.29	 9.56	 7.93	 6.11	 5.15	 6.81	 2.29	 3.41	 3.6	 4.25	 5.68	 0.0	 5
HELIOS2018	 24.24	 8.42	 13.67	 8.08	 7.6	 8.62	 6.81	 0.0	 4.38	 4.91	 4.25	 7.06	 1.67	 5
AHUT-SC	 16.67	 0.0	 16.67	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 33.33	 0.0	 0.0	 0.0	 6
HELIOS2018	 34.72	 9.72	 4.17	 5.56	 4.17	 4.17	 0.0	 0.0	 5.56	 20.83	 0.0	 5.56	 1.67	 6
AHUT-SC	 46.95	 18.06	 2.56	 9.23	 2.56	 2.56	 2.56	 9.23	 0.0	 0.0	 2.56	 3.7	 0.0	 7
HELIOS2018	 11.11	 11.11	 33.33	 0.0	 0.0	 0.0	 2.56	 11.11	 11.11	 11.11	 2.56	 0.0	 1.67	 7
AHUT-SC	 35.62	 24.89	 14.29	 6.75	 0.88	 0.88	 3.1	 3.49	 1.11	 1.75	 1.99	 5.24	 0.33	 0
HELIOS2019	 23.91	 25.3	 12.1	 3.92	 8.98	 11.06	 3.1	 6.6	 1.83	 1.04	 1.99	 1.04	 0.33	 0
AHUT-SC	 12.14	 10.71	 12.14	 38.1	 8.1	 7.38	 4.05	 1.67	 2.38	 1.67	 1.67	 0.0	 0.33	 1
